SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
131,4160,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-1403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913731,95790074160
132,4161,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913732,95790074161
133,4162,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913733,95790074162
134,4163,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913734,95790074163
135,4164,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913735,95790074164
136,4165,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913736,95790074165
137,4166,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913737,95790074166
138,4167,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913738,95790074167
139,4168,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913739,95790074168
140,4169,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913740,95790074169
141,4170,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912671,95790074170
142,4171,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912672,95790074171
143,4172,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912673,95790074172
144,4173,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912674,95790074173
145,4174,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-404,.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kuppa",3,6912675,95790074174
